		Wyniki

L	 it	xit	Rit	Rit'

1         1	   1.22449	       240	      -196
1         2	  0.952919	  -43.1289	  -158.813
1         3	  0.999111	   10.5714	   -228.86
1         4	         1	  0.195695	  -220.179
1         5	         1	7.96468e-05	      -220
1         6	         1	1.32729e-11	      -220

2         1	  -5.45455	      -240	       -44
2         2	  -4.46352	  -120.975	   122.071
2         3	  -4.10825	  -24.2755	   68.3304
2         4	  -4.00957	  -4.31754	   43.7539
2         5	  -4.00009	 -0.347977	   36.6891
2         6	        -4	-0.00323665	   36.0065
2         7	        -4	-2.90891e-07	        36

3         1	        15	       -60	         4
3         2	   9.20218	      5850	      1009
3         3	   5.53752	   1687.53	   460.488
3         4	   3.38316	   469.259	   217.818
3         5	   2.33534	   118.159	   112.767
3         6	    2.0277	     22.07	    71.739
3         7	   2.00021	   1.67505	   60.9441
3         8	         2	 0.0128842	   60.0073
3         9	         2	7.83733e-07	        60

4         1	  -2.30769	        30	        13
4         2	  -2.94284	   5.32544	   8.38462
4         3	  -2.99954	  0.403409	   7.11433
4         4	        -3	0.00321531	   7.00092
4         5	        -3	2.10929e-07	         7

5         1	       -10	        10	         1
5         2	       -10	         0	         1


	Miejsca zerowe: 1, -4, 2, -3, -10, 
